date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:24:57	115/115	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2003%20Nov%202021%2020:24:57%20GMT	https://bdeinfo.org/robots.txt		(from )
21:25:01	3045/3045	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Jul%202021%2019:14:48%20GMT	https://bdeinfo.org/	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/index.html	(from )
21:25:01	428/428	---MCZ	200	added ('OK')	text/css	etag:W/%225e3094a6-1ac%22	https://bdeinfo.org/assets/css/noscript.css	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/assets/css/noscript.css	(from https://bdeinfo.org/)
21:25:02	73085/73085	---MCZ	200	added ('OK')	text/css	etag:W/%225e3094a6-11d7d%22	https://bdeinfo.org/assets/css/main.css	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/assets/css/main.css	(from https://bdeinfo.org/)
21:25:02	3045/3045	---MCZ	200	added ('OK')	text/html	date:Tue,%2027%20Jul%202021%2019:14:48%20GMT	https://bdeinfo.org/index.html	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/index-2.html	(from https://bdeinfo.org/)
21:25:02	3609/3609	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jan%202020%2020:08:00%20GMT	https://bdeinfo.org/event.html	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/event.html	(from https://bdeinfo.org/)
21:25:04	943971/943971	---M--	200	added ('OK')	image/jpeg	etag:%225e3094a3-e6763%22	https://bdeinfo.org/images/kfet.jpg	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/images/kfet.jpg	(from https://bdeinfo.org/)
21:25:04	195849/195849	---M--	200	added ('OK')	image/jpeg	etag:%225e3094a0-2fd09%22	https://bdeinfo.org/images/event.jpg	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/images/event.jpg	(from https://bdeinfo.org/)
21:25:04	88145/88145	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e3094a6-15851%22	https://bdeinfo.org/assets/js/jquery.min.js	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/assets/js/jquery.min.js	(from https://bdeinfo.org/)
21:25:04	831/831	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e3094a6-33f%22	https://bdeinfo.org/assets/js/jquery.scrolly.min.js	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/assets/js/jquery.scrolly.min.js	(from https://bdeinfo.org/)
21:25:05	148568/148568	---M--	200	added ('OK')	image/png	etag:%225e3094a3-24458%22	https://bdeinfo.org/images/logobde.png	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/images/logobde.png	(from https://bdeinfo.org/)
21:25:05	2257/2257	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e3094a6-8d1%22	https://bdeinfo.org/assets/js/jquery.scrollex.min.js	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/assets/js/jquery.scrollex.min.js	(from https://bdeinfo.org/)
21:25:05	2439/2439	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e3094a6-987%22	https://bdeinfo.org/assets/js/breakpoints.min.js	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/assets/js/breakpoints.min.js	(from https://bdeinfo.org/)
21:25:05	1851/1851	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e3094a6-73b%22	https://bdeinfo.org/assets/js/browser.min.js	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/assets/js/browser.min.js	(from https://bdeinfo.org/)
21:25:06	12433/12433	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e3094a7-3091%22	https://bdeinfo.org/assets/js/util.js	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/assets/js/util.js	(from https://bdeinfo.org/)
21:25:06	6549/6549	---MCZ	200	added ('OK')	application/javascript	etag:W/%225e3094a7-1995%22	https://bdeinfo.org/assets/js/main.js	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/assets/js/main.js	(from https://bdeinfo.org/)
21:25:06	55967/55967	---MCZ	200	added ('OK')	text/css	etag:W/%225e3094a6-da9f%22	https://bdeinfo.org/assets/css/fontawesome-all.min.css	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/assets/css/fontawesome-all.min.css	(from https://bdeinfo.org/assets/css/main.css)
21:25:06	3856/3856	---MCZ	200	added ('OK')	text/html	date:Tue,%2028%20Jan%202020%2020:08:00%20GMT	https://bdeinfo.org/kfet.html	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/kfet.html	(from https://bdeinfo.org/event.html)
21:25:07	57429/57429	---M--	200	added ('OK')	image/jpeg	etag:%225e3094a5-e055%22	https://bdeinfo.org/images/wef.jpg	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/images/wef.jpg	(from https://bdeinfo.org/event.html)
21:25:07	452835/452835	---M--	200	added ('OK')	image/jpeg	etag:%225e3094a6-6e8e3%22	https://bdeinfo.org/images/wes.jpg	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/images/wes.jpg	(from https://bdeinfo.org/event.html)
21:25:07	196079/196079	---M--	200	added ('OK')	image/jpeg	etag:%225e3094a0-2fdef%22	https://bdeinfo.org/images/banner.jpg	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/images/banner.jpg	(from https://bdeinfo.org/assets/css/main.css)
21:25:08	129352/129352	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e3094a7-1f948%22	https://bdeinfo.org/assets/webfonts/fa-brands-400.eot	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/assets/webfonts/fa-brands-400.eot	(from https://bdeinfo.org/assets/css/fontawesome-all.min.css)
21:25:08	129352/129352	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e3094a7-1f948%22	https://bdeinfo.org/assets/webfonts/fa-brands-400.eot?	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/assets/webfonts/fa-brands-400d41d.eot	(from https://bdeinfo.org/assets/css/fontawesome-all.min.css)
21:25:08	74508/74508	---M--	200	added ('OK')	font/woff2	etag:%225e3094a8-1230c%22	https://bdeinfo.org/assets/webfonts/fa-brands-400.woff2	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/assets/webfonts/fa-brands-400.woff2	(from https://bdeinfo.org/assets/css/fontawesome-all.min.css)
21:25:08	87352/87352	---M--	200	added ('OK')	font/woff	etag:%225e3094a8-15538%22	https://bdeinfo.org/assets/webfonts/fa-brands-400.woff	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/assets/webfonts/fa-brands-400.woff	(from https://bdeinfo.org/assets/css/fontawesome-all.min.css)
21:25:09	1618588/1618588	---M--	200	added ('OK')	image/jpeg	etag:%225e3094a3-18b29c%22	https://bdeinfo.org/images/halloween.jpg	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/images/halloween.jpg	(from https://bdeinfo.org/event.html)
21:25:09	689922/689922	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e3094a8-a8702%22	https://bdeinfo.org/assets/webfonts/fa-brands-400.svg	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/assets/webfonts/fa-brands-400.svg	(from https://bdeinfo.org/assets/css/fontawesome-all.min.css)
21:25:10	34388/34388	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e3094a8-8654%22	https://bdeinfo.org/assets/webfonts/fa-regular-400.eot	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/assets/webfonts/fa-regular-400.eot	(from https://bdeinfo.org/assets/css/fontawesome-all.min.css)
21:25:10	129048/129048	---M--	200	added ('OK')	application/octet-stream	etag:%225e3094a8-1f818%22	https://bdeinfo.org/assets/webfonts/fa-brands-400.ttf	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/assets/webfonts/fa-brands-400.ttf	(from https://bdeinfo.org/assets/css/fontawesome-all.min.css)
21:25:10	34388/34388	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e3094a8-8654%22	https://bdeinfo.org/assets/webfonts/fa-regular-400.eot?	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/assets/webfonts/fa-regular-400d41d.eot	(from https://bdeinfo.org/assets/css/fontawesome-all.min.css)
21:25:11	13580/13580	---M--	200	added ('OK')	font/woff2	etag:%225e3094a9-350c%22	https://bdeinfo.org/assets/webfonts/fa-regular-400.woff2	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/assets/webfonts/fa-regular-400.woff2	(from https://bdeinfo.org/assets/css/fontawesome-all.min.css)
21:25:12	16804/16804	---M--	200	added ('OK')	font/woff	etag:%225e3094a9-41a4%22	https://bdeinfo.org/assets/webfonts/fa-regular-400.woff	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/assets/webfonts/fa-regular-400.woff	(from https://bdeinfo.org/assets/css/fontawesome-all.min.css)
21:25:12	34092/34092	---M--	200	added ('OK')	application/octet-stream	etag:%225e3094a9-852c%22	https://bdeinfo.org/assets/webfonts/fa-regular-400.ttf	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/assets/webfonts/fa-regular-400.ttf	(from https://bdeinfo.org/assets/css/fontawesome-all.min.css)
21:25:13	192116/192116	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e3094a9-2ee74%22	https://bdeinfo.org/assets/webfonts/fa-solid-900.eot	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/assets/webfonts/fa-solid-900.eot	(from https://bdeinfo.org/assets/css/fontawesome-all.min.css)
21:25:14	192116/192116	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225e3094a9-2ee74%22	https://bdeinfo.org/assets/webfonts/fa-solid-900.eot?	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/assets/webfonts/fa-solid-900d41d.eot	(from https://bdeinfo.org/assets/css/fontawesome-all.min.css)
21:25:14	144451/144451	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e3094a9-23443%22	https://bdeinfo.org/assets/webfonts/fa-regular-400.svg	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/assets/webfonts/fa-regular-400.svg	(from https://bdeinfo.org/assets/css/fontawesome-all.min.css)
21:25:14	75440/75440	---M--	200	added ('OK')	font/woff2	etag:%225e3094aa-126b0%22	https://bdeinfo.org/assets/webfonts/fa-solid-900.woff2	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/assets/webfonts/fa-solid-900.woff2	(from https://bdeinfo.org/assets/css/fontawesome-all.min.css)
21:25:15	98020/98020	---M--	200	added ('OK')	font/woff	etag:%225e3094aa-17ee4%22	https://bdeinfo.org/assets/webfonts/fa-solid-900.woff	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/assets/webfonts/fa-solid-900.woff	(from https://bdeinfo.org/assets/css/fontawesome-all.min.css)
21:25:16	839388/839388	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225e3094aa-ccedc%22	https://bdeinfo.org/assets/webfonts/fa-solid-900.svg	C:/Users/lilia/OneDrive/Bureau/essao/bdeinfo.org/assets/webfonts/fa-solid-900.svg	(from https://bdeinfo.org/assets/css/fontawesome-all.min.css)
